1,2,3,4,5,6,7,8,9,10
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,99.09542522
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,98.57118538
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,98.33993148
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,98.66704984
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,74.58686184
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,99.60926481
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,98.88076685
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,98.86914337
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,99.46091601
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,99.50965588
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
,,,,,,,,,100
